forecast_time,city,temp,humidity,condition
2026-08-18 18:00:00,Delhi,25.69,69,Rain
2026-08-18 21:00:00,Delhi,28.2,76,Rain
2026-08-19 00:00:00,Delhi,28.42,74,Rain
2026-08-19 03:00:00,Delhi,28.91,73,Rain
2026-08-19 06:00:00,Delhi,33.27,49,Clouds
2026-08-19 09:00:00,Delhi,36.99,38,Clouds
2026-08-19 12:00:00,Delhi,33.17,55,Clouds
2026-08-19 15:00:00,Delhi,30.86,63,Rain
2026-08-19 18:00:00,Delhi,29.97,67,Rain
2026-08-19 21:00:00,Delhi,29.05,71,Rain
2026-08-20 00:00:00,Delhi,28.77,70,Rain
2026-08-20 03:00:00,Delhi,31.19,57,Clouds
2026-08-20 06:00:00,Delhi,34.09,45,Clouds
2026-08-20 09:00:00,Delhi,37.59,38,Clouds
2026-08-20 12:00:00,Delhi,35.33,47,Rain
2026-08-20 15:00:00,Delhi,30.18,68,Rain
2026-08-20 18:00:00,Delhi,30.09,68,Rain
2026-08-20 21:00:00,Delhi,29.44,69,Rain
2026-08-21 00:00:00,Delhi,29.5,64,Clouds
2026-08-21 03:00:00,Delhi,31.45,54,Clouds
2026-08-21 06:00:00,Delhi,35.32,42,Clouds
2026-08-21 09:00:00,Delhi,38.86,33,Clouds
2026-08-21 12:00:00,Delhi,35.77,44,Rain
2026-08-21 15:00:00,Delhi,32.95,54,Rain
2026-08-21 18:00:00,Delhi,32.15,57,Rain
2026-08-21 21:00:00,Delhi,31.83,58,Clouds
2026-08-22 00:00:00,Delhi,29.3,64,Rain
2026-08-17 03:00:00,Chennai,29.01,79,Rain
2026-08-17 06:00:00,Chennai,30.81,64,Clouds
2026-08-17 09:00:00,Chennai,33.72,48,Clouds
2026-08-17 12:00:00,Chennai,30.26,68,Clouds
2026-08-17 15:00:00,Chennai,30,70,Rain
2026-08-17 18:00:00,Chennai,28.14,73,Clouds
2026-08-17 21:00:00,Chennai,27.97,77,Rain
2026-08-18 00:00:00,Chennai,27.98,74,Clouds
2026-08-18 03:00:00,Chennai,31.06,51,Clouds
2026-08-18 06:00:00,Chennai,34.53,41,Clouds
2026-08-18 09:00:00,Chennai,33.68,47,Clouds
2026-08-18 12:00:00,Chennai,30.12,65,Clouds
2026-08-18 15:00:00,Chennai,30.07,65,Clouds
2026-08-18 18:00:00,Chennai,29.22,70,Clouds
2026-08-18 21:00:00,Chennai,29.53,69,Rain
2026-08-19 00:00:00,Chennai,28.19,74,Rain
2026-08-19 03:00:00,Chennai,31.32,54,Rain
2026-08-19 06:00:00,Chennai,34.1,44,Clouds
2026-08-19 09:00:00,Chennai,32.97,51,Clouds
2026-08-19 12:00:00,Chennai,29.95,70,Clouds
2026-08-19 15:00:00,Chennai,30.6,62,Clouds
2026-08-19 18:00:00,Chennai,30.59,58,Clouds
2026-08-19 21:00:00,Chennai,29.57,56,Clouds
2026-08-20 00:00:00,Chennai,29.44,56,Clouds
2026-08-20 03:00:00,Chennai,30.77,52,Clouds
2026-08-20 06:00:00,Chennai,33.56,45,Clouds
2026-08-20 09:00:00,Chennai,32.86,50,Clouds
2026-08-20 12:00:00,Chennai,29.94,65,Clouds
2026-08-20 15:00:00,Chennai,30.24,65,Clouds
